Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.07,0.11,-1.00,1.34,1.77,1.65
0.0170,0.08,0.14,-1.00,4.94,2.20,2.14
0.0410,0.07,0.12,-0.99,2.14,2.38,1.83
0.0560,0.07,0.13,-1.00,2.62,2.75,2.01
0.0720,0.07,0.13,-0.99,2.32,2.62,2.01
0.0830,0.07,0.13,-1.00,2.69,2.81,1.89
0.1000,0.07,0.13,-0.99,3.85,2.99,2.08
0.1160,0.07,0.12,-0.99,3.30,2.38,1.95
0.1310,0.07,0.13,-0.99,3.60,2.62,1.89
0.1460,0.07,0.12,-0.99,2.99,2.56,1.89
0.1610,0.07,0.13,-1.00,3.54,2.87,2.01
0.1760,0.07,0.13,-1.00,3.48,2.75,2.01
0.1920,0.07,0.13,-1.00,3.05,2.69,1.95
0.2000,0.07,0.13,-1.00,3.36,2.44,1.89
0.2170,0.07,0.13,-0.99,3.60,2.75,2.08
0.2330,0.07,0.13,-0.99,3.60,3.11,2.14
0.2500,0.07,0.13,-0.99,2.99,2.62,2.08
0.2660,0.07,0.13,-0.99,3.17,2.81,2.08
0.2810,0.07,0.13,-0.99,3.48,2.56,2.01
0.2970,0.07,0.13,-0.99,3.91,2.81,2.20
0.3120,0.07,0.13,-0.99,3.60,2.50,1.95
0.3270,0.07,0.13,-0.99,3.72,2.56,2.01
0.3420,0.07,0.13,-1.00,4.82,2.32,2.08
0.3500,0.07,0.13,-1.00,4.46,2.56,2.20
0.3730,0.07,0.13,-0.99,5.00,2.38,2.08
0.3830,0.07,0.13,-1.00,4.33,2.69,2.01
0.4000,0.07,0.13,-0.99,3.48,2.44,2.01
0.4160,0.07,0.13,-1.00,3.48,3.05,2.08
0.4340,0.06,0.13,-1.00,3.23,2.69,1.89
0.4460,0.07,0.13,-0.99,3.11,3.23,1.83
0.4540,0.10,0.12,-0.98,2.20,2.87,1.16
0.4710,0.04,0.13,-1.00,3.36,2.87,-0.12
0.4870,0.06,0.12,-0.99,1.89,3.30,0.98
0.5030,0.07,0.13,-0.99,2.44,2.44,1.77
0.5210,0.07,0.13,-0.99,2.93,2.56,1.71
0.5370,0.07,0.12,-0.99,3.60,2.62,1.83
0.5550,0.07,0.13,-1.00,3.54,2.69,2.01
0.5720,0.07,0.13,-0.99,3.11,2.62,2.08
0.5870,0.07,0.13,-0.99,3.23,2.69,1.89
0.6030,0.07,0.13,-1.00,3.05,2.26,1.95
0.6190,0.07,0.13,-1.00,2.56,2.38,1.83
0.6340,0.07,0.13,-0.99,2.93,2.75,2.08
0.6460,0.08,0.13,-0.99,3.23,2.69,2.01
0.6640,0.06,0.13,-1.00,3.97,2.44,0.49
