Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.05,0.12,-0.99,2.99,3.11,1.77
0.0260,0.05,0.12,-0.99,3.54,2.32,1.53
0.0420,0.05,0.12,-0.99,3.23,2.50,1.65
0.0500,0.05,0.12,-0.99,3.36,2.14,1.65
0.0670,0.05,0.12,-0.99,3.23,2.32,1.71
0.0840,0.05,0.12,-0.99,3.42,2.32,1.71
0.1000,0.05,0.12,-0.99,3.36,2.56,1.71
0.1170,0.05,0.12,-0.99,3.30,2.44,1.77
0.1320,0.05,0.12,-0.99,3.30,1.95,1.71
0.1330,0.05,0.12,-0.99,3.42,2.38,1.77
0.1620,0.05,0.12,-0.99,3.48,2.20,1.77
0.1780,0.05,0.12,-0.99,3.42,2.50,1.83
0.1930,0.05,0.12,-0.99,3.30,2.50,1.89
0.2010,0.05,0.12,-0.99,3.48,2.14,1.53
0.2170,0.05,0.12,-0.99,3.48,1.95,1.53
0.2330,0.05,0.12,-1.00,3.23,2.01,1.46
0.2500,0.05,0.12,-0.99,3.11,2.32,1.83
0.2660,0.05,0.13,-0.99,3.30,1.95,3.54
0.2850,0.05,0.13,-0.99,2.99,1.53,4.58
0.3000,0.05,0.11,-1.00,3.30,2.01,3.72
0.3160,0.04,0.11,-1.00,3.48,1.95,2.38
0.3310,0.05,0.13,-0.99,3.30,2.26,2.32
0.3460,0.05,0.13,-0.99,3.23,2.14,2.62
0.3610,0.05,0.13,-1.00,2.99,1.71,3.11
0.3690,0.05,0.13,-0.99,2.99,1.53,4.70
0.3850,0.05,0.13,-0.99,3.05,1.89,4.70
0.4050,0.05,0.13,-0.99,3.05,1.95,4.21
0.4210,0.04,0.14,-0.99,2.87,2.20,5.31
0.4370,0.05,0.12,-1.00,2.62,1.89,6.23
0.4520,0.05,0.11,-0.99,2.87,2.32,3.97
0.4670,0.05,0.12,-0.99,2.87,2.69,2.50
0.4720,0.05,0.12,-0.99,2.93,2.56,2.08
0.4880,0.05,0.12,-0.99,3.11,2.56,1.71
0.5140,0.05,0.12,-0.99,3.48,2.44,1.59
0.5240,0.06,0.10,-1.00,3.30,2.75,-0.49
0.5420,0.04,0.13,-0.99,3.78,3.42,-3.78
0.5570,0.04,0.13,-1.00,3.97,2.69,-2.99
0.5740,0.05,0.12,-0.99,2.87,3.05,-1.10
0.5900,0.04,0.13,-0.99,3.17,2.56,-1.10
0.6060,0.05,0.12,-0.99,3.30,2.38,0.55
0.6210,0.05,0.12,-0.99,3.42,2.08,0.98
0.6240,0.05,0.12,-0.99,3.54,2.08,-0.31
0.6540,0.05,0.12,-0.99,3.42,2.56,0.18
0.6680,0.05,0.12,-0.99,3.54,2.56,0.73
0.6840,0.05,0.12,-0.99,3.54,2.56,1.34
0.6930,0.05,0.12,-1.00,3.60,2.69,1.04
0.7100,0.05,0.11,-0.99,3.66,2.99,-0.12
0.7260,0.05,0.12,-0.99,3.78,2.93,-1.16
0.7440,0.04,0.13,-0.99,3.54,2.50,0.55
0.7600,0.04,0.12,-1.00,3.30,2.56,1.71
0.7750,0.05,0.12,-1.00,3.36,2.32,1.65
0.7770,0.05,0.12,-0.99,3.36,2.32,1.65
0.7930,0.05,0.11,-0.99,3.36,2.38,1.53
0.8170,0.04,0.12,-1.00,3.30,2.81,1.59
0.8270,0.05,0.11,-1.00,3.30,2.56,1.40
0.8440,0.05,0.11,-1.00,3.23,2.50,0.67
0.8600,0.05,0.12,-0.99,3.48,2.44,0.73
0.8790,0.05,0.12,-0.99,3.54,2.44,0.98
0.8950,0.04,0.12,-0.99,3.48,2.56,1.04
0.9120,0.04,0.11,-1.00,3.36,2.93,0.73
0.9300,0.05,0.12,-0.99,3.23,2.62,-0.43
0.9450,0.05,0.12,-0.99,3.30,2.69,0.06
0.9620,0.05,0.13,-0.99,3.11,2.44,-0.12
0.9630,0.05,0.13,-1.00,3.30,2.44,1.16
0.9940,0.05,0.12,-0.99,3.11,2.50,1.53
1.0100,0.05,0.13,-0.99,3.23,2.26,1.10
1.0260,0.05,0.13,-0.99,3.42,2.62,1.46
1.0290,0.05,0.13,-0.99,3.36,2.50,1.71
1.0440,0.04,0.13,-0.99,3.23,2.26,1.83
1.0670,0.05,0.13,-0.99,3.17,2.75,2.01
1.0820,0.05,0.13,-0.99,3.42,2.26,2.32
1.1000,0.05,0.12,-0.99,3.17,2.44,2.69
1.1160,0.05,0.12,-0.99,3.30,2.32,2.32
1.1180,0.05,0.12,-0.99,3.36,2.38,2.01
1.1480,0.05,0.12,-0.99,3.36,2.14,1.89
1.1500,0.05,0.12,-0.99,3.48,1.95,1.71
